Key,File,Type,UsedInMainMenu,NoTranslate,english
teleporter,blocks,Block,,x,Teleporter
teleporterDesc,blocks,Block,,x,A high-tech teleporter. Place it down and name it. Once you have two or more teleporters placed you can teleport between them using the built-in interface.
teleporter_title,blocks,Block,,x,TELEPORT
teleporter_configure,blocks,Block,,x,Press E to configure this Teleporter
teleporter_use,blocks,Block,,x,Press E to use {0}
teleporter_name_title,blocks,Block,,x,NAME TELEPORTER
teleporter_enter_name,blocks,Block,,x,Enter a name for this teleporter:
teleporter_save,blocks,Block,,x,SAVE
teleporter_name_empty,blocks,Block,,x,Teleporter name cannot be empty.
teleporter_named,blocks,Block,,x,Teleporter named: {0}
teleporter_teleported,blocks,Block,,x,Teleported to {0}
teleporter_no_destinations,blocks,Block,,x,No other teleporters found. Place more teleporters to teleport.
